title,publishedAt,viewCount,likeCount,commentCount,duration
TAEIL’S DAY｜NCT 127 “A DAY 1N M2 ROO7и”,2022-06-17T11:00:02Z,282043,39601,1393,545
DOYOUNG’S DAY｜NCT 127 “A DAY 1N M2 ROO7и”,2022-06-15T11:00:23Z,767264,89207,2337,962
JOHNNY’S DAY｜NCT 127 “A DAY 1N M2 ROO7и”,2022-06-13T11:00:13Z,440603,58088,1315,617
YUTA’S DAY｜NCT 127 “A DAY 1N M2 ROO7и”,2022-06-11T11:00:23Z,684100,71302,2462,781
MARK’S DAY｜NCT 127 “A DAY 1N M2 ROO7и”,2022-06-09T11:00:19Z,1095758,145844,4092,610
HAECHAN’S DAY｜NCT 127 “A DAY 1N M2 ROO7и”,2022-06-07T11:00:14Z,937480,148338,4167,566
JAEHYUN’S DAY｜NCT 127 “A DAY 1N M2 ROO7и”,2022-06-05T11:00:18Z,1418706,201130,5376,769
달콤한 쿠키 한 조각 어때요?🍪 | NCT 127 Baker House Photoshoot Behind,2022-05-26T11:00:21Z,350876,43573,946,889
Let’s LINK up in Japan! | gimme gimme Dance Practice,2022-05-13T11:00:12Z,843937,86470,1825,722
NATURE REPUBLIC Photoshoot Behind｜HIGHTEEN DIARY📔,2022-04-14T11:00:08Z,328075,46612,1001,751
Concert D-Day Behind | Ep.7 | THE LINK LOG,2022-03-14T13:00:31Z,476808,51437,1315,1656
Stage Rehearsal Behind | Ep.6 | THE LINK LOG,2022-03-10T13:00:07Z,428146,51485,1036,1243
Stage Practice Behind | Ep.5 | THE LINK LOG,2022-03-06T13:00:33Z,611642,63925,1422,1326
NATURE REPUBLIC Photoshoot Behind｜COOL GUYS 👖,2022-03-05T11:00:00Z,318310,49475,1294,433
"Solo Stage Practice Behind (TAEIL, TAEYONG, JOHNNY) | Ep.4 | THE LINK LOG",2022-03-02T13:00:17Z,654987,86516,3135,1040
"Solo Stage Practice Behind (JAEHYUN, JUNGWOO, DOYOUNG) | Ep.3 | THE LINK LOG",2022-02-26T13:00:11Z,544608,68275,2090,1065
"Solo & Unit Stage Practice Behind (MARK, YUTA, TAEIL&HAECHAN) | Ep.2 | THE LINK LOG",2022-02-22T13:00:09Z,636957,77814,2535,1236
Poster & VCR Shooting Behind | Ep.1 | THE LINK LOG,2022-02-18T13:00:33Z,559079,74709,1895,1613
